ranking,hr_process_name,hr_system_name,region,hr_contact_channel,total_cases,automation_score,automation_priority,recommended_solution,estimated_operational_hours_saved
47,HR System Enhancement Request,Benefits Administration System,Asia,Email,72,60.15,Alta,Workflow automation,600.26
48,Benefits Cancellation Request,Benefits Administration System,Australia,Internal Collaboration Tool,75,60.02,Alta,Chatbot o asistente virtual,633.67
49,Employee Data Update,Benefits Administration System,Asia,Internal Collaboration Tool,92,60.01,Alta,Chatbot o asistente virtual,738.35
50,HR System Performance Issue,Benefits Portal,Asia,Employee Self-Service Portal,67,60.0,Alta,Workflow automation,552.48
51,Employee Data Update,People Analytics Dashboard,Australia,Employee Self-Service Portal,77,59.85,Alta,Automatización parcial con alertas SLA,560.29
52,HR System Performance Issue,HRIS Integration API,Australia,HR Chat / Virtual Assistant,68,59.82,Alta,Chatbot o asistente virtual,585.0
53,Compliance & Access Security Review,HR Document Management System,Asia,Internal Collaboration Tool,83,59.76,Alta,Chatbot o asistente virtual,654.21
54,Benefits Cancellation Request,Employee Mobile App,South America,Phone,77,59.73,Alta,Automatización parcial con alertas SLA,613.11
55,Payroll Support Request,Payroll Payment Gateway,Australia,Email,86,59.69,Alta,Workflow automation,749.19
56,Payroll Support Request,Employee Mobile App,Africa,Employee Self-Service Portal,64,59.65,Alta,Automatización parcial con alertas SLA,535.14
57,Payroll Support Request,HR Document Management System,North America,Internal Collaboration Tool,65,59.61,Alta,Automatización parcial con alertas SLA,559.19
58,HR Platform Bug Report,Payroll Payment Gateway,Africa,Internal Collaboration Tool,70,59.6,Alta,Chatbot o asistente virtual,545.12
59,Benefits Cancellation Request,Payroll System,North America,Employee Self-Service Portal,83,59.58,Alta,Workflow automation,659.44
60,HRIS Login Issue,HR Case Management Platform,Asia,Internal Collaboration Tool,80,59.58,Alta,Chatbot o asistente virtual,631.4
61,HR System Performance Issue,Employee Mobile App,Africa,Email,74,59.56,Alta,Workflow automation,559.96
62,HR System Performance Issue,Employee Mobile App,Asia,Employee Self-Service Portal,68,59.52,Alta,Workflow automation,534.55
63,HR Platform Bug Report,Payroll System,Europe,HR Chat / Virtual Assistant,79,59.48,Alta,Automatización prioritaria,649.78
64,Compliance & Access Security Review,People Analytics Dashboard,Africa,Phone,82,59.45,Alta,Automatización parcial con alertas SLA,629.96
65,HR Platform Bug Report,HRIS Integration API,Asia,Email,77,59.42,Alta,Automatización parcial con alertas SLA,587.51
66,Benefits Cancellation Request,Employee Self-Service Portal,South America,Internal Collaboration Tool,83,59.39,Alta,Chatbot o asistente virtual,699.52
67,HR Platform Bug Report,People Analytics Dashboard,Australia,Phone,67,59.37,Alta,Automatización parcial con alertas SLA,537.0
68,Payroll Support Request,HR Document Management System,Australia,Email,72,59.33,Alta,Workflow automation,587.41
69,Employee Data Update,HR Case Management Platform,Australia,Internal Collaboration Tool,66,59.3,Alta,Chatbot o asistente virtual,514.21
70,HR System Enhancement Request,Benefits Portal,Australia,Internal Collaboration Tool,85,59.28,Alta,Chatbot o asistente virtual,696.74
71,Employee Data Update,HR Document Management System,Africa,Employee Self-Service Portal,69,59.27,Alta,Workflow automation,614.62
72,Benefits Cancellation Request,HR Case Management Platform,Europe,Internal Collaboration Tool,78,59.2,Alta,Chatbot o asistente virtual,657.38
73,HR System Enhancement Request,HR Case Management Platform,Asia,Phone,76,59.19,Alta,Automatización parcial con alertas SLA,657.02
74,Payroll Support Request,HR Case Management Platform,North America,Employee Self-Service Portal,73,59.16,Alta,Automatización parcial con alertas SLA,618.31
75,Payroll Support Request,HR Case Management Platform,Australia,Phone,80,59.13,Alta,Automatización parcial con alertas SLA,668.92
76,Benefits Cancellation Request,HR Document Management System,North America,Internal Collaboration Tool,71,59.13,Alta,Chatbot o asistente virtual,553.91
77,HR System Enhancement Request,Employee Mobile App,South America,Internal Collaboration Tool,73,59.06,Alta,Chatbot o asistente virtual,563.12
78,Benefits Cancellation Request,Payroll Payment Gateway,North America,Internal Collaboration Tool,87,58.97,Alta,Chatbot o asistente virtual,687.56
79,Benefits Cancellation Request,Employee Self-Service Portal,North America,Email,64,58.97,Alta,Automatización parcial con alertas SLA,504.45
80,HRIS Login Issue,Benefits Administration System,Australia,Employee Self-Service Portal,73,58.96,Alta,Workflow automation,581.52
81,Employee Data Update,Payroll Payment Gateway,Africa,Phone,87,58.93,Alta,Automatización prioritaria,689.69
82,Payroll Support Request,People Analytics Dashboard,Europe,HR Chat / Virtual Assistant,80,58.93,Alta,Chatbot o asistente virtual,664.16
83,Benefits Reimbursement Request,Payroll System,South America,Employee Self-Service Portal,80,58.92,Alta,Workflow automation,636.44
84,HR System Enhancement Request,Payroll System,South America,HR Chat / Virtual Assistant,74,58.92,Alta,Automatización prioritaria,614.61
85,Benefits Cancellation Request,Payroll Payment Gateway,South America,Phone,63,58.92,Alta,Automatización parcial con alertas SLA,532.51
86,HRIS Access Suspension,Employee Mobile App,South America,Phone,75,58.9,Alta,Automatización prioritaria,613.99
87,HRIS Access Suspension,Payroll System,Africa,Employee Self-Service Portal,77,58.88,Alta,Workflow automation,632.25
88,Benefits Reimbursement Request,Employee Mobile App,Asia,Phone,76,58.88,Alta,Automatización parcial con alertas SLA,599.83
89,HRIS Access Suspension,Employee Self-Service Portal,South America,HR Chat / Virtual Assistant,72,58.85,Alta,Chatbot o asistente virtual,573.8
90,Employee Data Update,Employee Self-Service Portal,North America,Email,71,58.8,Alta,Workflow automation,596.65
91,Compliance & Access Security Review,People Analytics Dashboard,Asia,Email,79,58.69,Alta,Workflow automation,680.47
92,Benefits Reimbursement Request,People Analytics Dashboard,North America,Employee Self-Service Portal,71,58.6,Alta,Automatización parcial con alertas SLA,560.37
93,HRIS Login Issue,Benefits Administration System,Asia,Employee Self-Service Portal,59,58.58,Alta,Automatización parcial con alertas SLA,484.24
94,Employee Data Update,Benefits Portal,South America,Email,67,58.57,Alta,Workflow automation,550.37
95,HR Platform Bug Report,Payroll Payment Gateway,South America,Phone,69,58.55,Alta,Automatización parcial con alertas SLA,595.78
96,Compliance & Access Security Review,Benefits Portal,North America,Email,73,58.54,Alta,Automatización parcial con alertas SLA,579.22
97,Benefits Cancellation Request,Benefits Administration System,Europe,Email,75,58.53,Alta,Workflow automation,578.29
98,HRIS Login Issue,HRIS Integration API,Africa,Internal Collaboration Tool,73,58.48,Alta,Chatbot o asistente virtual,531.18
99,Payroll Support Request,Benefits Portal,Africa,HR Chat / Virtual Assistant,73,58.45,Alta,Chatbot o asistente virtual,588.16
100,Compliance & Access Security Review,Payroll System,Australia,Phone,88,58.41,Alta,Automatización parcial con alertas SLA,648.34
101,HRIS Login Issue,Benefits Administration System,Africa,Phone,67,58.37,Alta,Automatización parcial con alertas SLA,500.42
102,HR System Performance Issue,HR Case Management Platform,Australia,HR Chat / Virtual Assistant,68,58.32,Alta,Chatbot o asistente virtual,571.44
103,HRIS Login Issue,Benefits Portal,North America,HR Chat / Virtual Assistant,76,58.3,Alta,Chatbot o asistente virtual,638.13
104,HR System Enhancement Request,HRIS Integration API,South America,Employee Self-Service Portal,83,58.26,Alta,Automatización parcial con alertas SLA,618.76
105,Employee Data Update,Employee Mobile App,South America,Phone,80,58.23,Alta,Automatización parcial con alertas SLA,616.0
106,HR Platform Bug Report,Benefits Administration System,Australia,Phone,90,58.2,Alta,Automatización parcial con alertas SLA,648.27
107,HR System Performance Issue,HR Document Management System,North America,HR Chat / Virtual Assistant,72,58.2,Alta,Chatbot o asistente virtual,580.86
108,Payroll Support Request,Benefits Portal,Australia,HR Chat / Virtual Assistant,69,58.2,Alta,Chatbot o asistente virtual,525.02
109,HRIS Login Issue,HR Document Management System,Australia,Internal Collaboration Tool,72,58.19,Alta,Chatbot o asistente virtual,526.93
110,Compliance & Access Security Review,Employee Self-Service Portal,Europe,Email,70,58.14,Alta,Workflow automation,576.97
111,Compliance & Access Security Review,Employee Mobile App,Europe,Internal Collaboration Tool,76,58.13,Alta,Chatbot o asistente virtual,607.81
112,HRIS Access Suspension,Employee Mobile App,North America,HR Chat / Virtual Assistant,75,58.12,Alta,Chatbot o asistente virtual,608.47
113,Compliance & Access Security Review,HR Document Management System,North America,Phone,75,58.11,Alta,Automatización parcial con alertas SLA,606.11
114,Compliance & Access Security Review,People Analytics Dashboard,Asia,Phone,82,58.09,Alta,Automatización parcial con alertas SLA,677.32
115,Benefits Cancellation Request,Employee Mobile App,North America,HR Chat / Virtual Assistant,74,58.08,Alta,Chatbot o asistente virtual,619.79
116,Benefits Reimbursement Request,Benefits Portal,Australia,Employee Self-Service Portal,63,58.07,Alta,Automatización parcial con alertas SLA,499.21
117,Employee Data Update,Employee Self-Service Portal,Australia,Phone,69,58.05,Alta,Automatización parcial con alertas SLA,536.37
118,HR System Performance Issue,Benefits Portal,South America,Phone,74,58.04,Alta,Automatización parcial con alertas SLA,590.26
119,Benefits Cancellation Request,HR Document Management System,Africa,Employee Self-Service Portal,77,58.04,Alta,Workflow automation,576.19
120,Employee Data Update,People Analytics Dashboard,Europe,HR Chat / Virtual Assistant,64,58.04,Alta,Chatbot o asistente virtual,489.22
121,Benefits Cancellation Request,People Analytics Dashboard,Australia,Phone,70,58.03,Alta,Automatización parcial con alertas SLA,565.46
122,HR System Performance Issue,HR Case Management Platform,Africa,Employee Self-Service Portal,71,58.01,Alta,Workflow automation,606.59
123,Benefits Cancellation Request,People Analytics Dashboard,North America,Employee Self-Service Portal,89,57.98,Alta,Workflow automation,748.53
124,Benefits Reimbursement Request,HR Case Management Platform,Africa,Email,72,57.97,Alta,Workflow automation,507.53
125,Benefits Cancellation Request,HR Document Management System,Asia,Internal Collaboration Tool,80,57.94,Alta,Automatización parcial con alertas SLA,630.56
126,HRIS Login Issue,Employee Mobile App,Australia,HR Chat / Virtual Assistant,94,57.93,Alta,Chatbot o asistente virtual,731.7
127,Compliance & Access Security Review,Benefits Administration System,Africa,Email,91,57.91,Alta,Workflow automation,651.97
128,Compliance & Access Security Review,HR Document Management System,Africa,Email,65,57.91,Alta,Workflow automation,560.56
129,Compliance & Access Security Review,Employee Self-Service Portal,Africa,Employee Self-Service Portal,83,57.89,Alta,Workflow automation,670.76
130,HR System Performance Issue,Benefits Administration System,Africa,Phone,82,57.86,Alta,Automatización prioritaria,672.44
131,Employee Data Update,HRIS Integration API,Asia,Phone,78,57.86,Alta,Automatización parcial con alertas SLA,631.45
132,Benefits Reimbursement Request,HR Document Management System,Africa,Employee Self-Service Portal,84,57.85,Alta,Workflow automation,661.5
133,HRIS Login Issue,Payroll Payment Gateway,Europe,Internal Collaboration Tool,73,57.85,Alta,Automatización parcial con alertas SLA,578.45
134,HR System Performance Issue,HRIS Integration API,Europe,Email,88,57.84,Alta,Workflow automation,650.8
135,Compliance & Access Security Review,Employee Self-Service Portal,South America,Phone,66,57.8,Alta,Automatización parcial con alertas SLA,545.16
136,HR System Performance Issue,HRIS Integration API,South America,Email,79,57.77,Alta,Workflow automation,590.05
137,HR Platform Bug Report,Payroll System,Asia,HR Chat / Virtual Assistant,74,57.76,Alta,Chatbot o asistente virtual,634.03
138,Compliance & Access Security Review,Benefits Portal,Europe,Phone,77,57.74,Alta,Automatización parcial con alertas SLA,588.59
139,HRIS Login Issue,HR Document Management System,South America,Employee Self-Service Portal,63,57.73,Alta,Automatización parcial con alertas SLA,470.99
140,Employee Data Update,Payroll Payment Gateway,North America,Internal Collaboration Tool,80,57.72,Alta,Chatbot o asistente virtual,543.76
141,HR System Enhancement Request,Employee Mobile App,Asia,Email,58,57.7,Alta,Workflow automation,486.79
142,HR Platform Bug Report,Benefits Portal,North America,Email,75,57.69,Alta,Workflow automation,603.49
143,Employee Data Update,HR Case Management Platform,Europe,Employee Self-Service Portal,73,57.68,Alta,Workflow automation,571.81
144,HRIS Access Suspension,HR Document Management System,South America,Email,63,57.68,Alta,Workflow automation,535.37
145,Compliance & Access Security Review,Benefits Administration System,North America,Internal Collaboration Tool,79,57.67,Alta,Chatbot o asistente virtual,575.95
146,Benefits Cancellation Request,Payroll Payment Gateway,Africa,Email,76,57.59,Alta,Workflow automation,543.97
147,HRIS Access Suspension,HR Document Management System,Asia,Employee Self-Service Portal,73,57.56,Alta,Workflow automation,603.24
148,HR System Performance Issue,Employee Self-Service Portal,Africa,Email,82,57.56,Alta,Automatización parcial con alertas SLA,582.32
149,Employee Data Update,Payroll Payment Gateway,Asia,HR Chat / Virtual Assistant,70,57.53,Alta,Chatbot o asistente virtual,584.81
150,HRIS Access Suspension,HRIS Integration API,Africa,Employee Self-Service Portal,72,57.5,Alta,Workflow automation,664.52
151,Compliance & Access Security Review,HR Case Management Platform,North America,Internal Collaboration Tool,79,57.5,Alta,Chatbot o asistente virtual,636.78
152,Payroll Support Request,Payroll Payment Gateway,Africa,Internal Collaboration Tool,67,57.48,Alta,Chatbot o asistente virtual,560.69
153,Payroll Support Request,Employee Mobile App,Australia,Email,70,57.48,Alta,Workflow automation,541.2
154,HR System Performance Issue,Payroll System,Africa,HR Chat / Virtual Assistant,79,57.47,Alta,Chatbot o asistente virtual,596.13
155,HR System Enhancement Request,HR Case Management Platform,Australia,HR Chat / Virtual Assistant,78,57.46,Alta,Chatbot o asistente virtual,571.39
156,Employee Data Update,HRIS Integration API,Australia,Internal Collaboration Tool,63,57.46,Alta,Chatbot o asistente virtual,541.77
157,HR System Performance Issue,Employee Self-Service Portal,South America,Employee Self-Service Portal,79,57.45,Alta,Workflow automation,593.92
158,HR System Enhancement Request,HRIS Integration API,Africa,Internal Collaboration Tool,80,57.43,Alta,Chatbot o asistente virtual,652.96
159,HR System Performance Issue,Employee Mobile App,Australia,Employee Self-Service Portal,81,57.43,Alta,Automatización parcial con alertas SLA,639.86
160,HR System Enhancement Request,Employee Mobile App,North America,Phone,64,57.41,Alta,Automatización parcial con alertas SLA,571.2
161,HRIS Access Suspension,Payroll System,North America,Internal Collaboration Tool,79,57.39,Alta,Chatbot o asistente virtual,525.35
162,Compliance & Access Security Review,Benefits Portal,South America,Phone,66,57.35,Alta,Automatización parcial con alertas SLA,554.63
163,HR Platform Bug Report,Employee Mobile App,Africa,Phone,80,57.33,Alta,Automatización parcial con alertas SLA,642.88
164,HR System Enhancement Request,Benefits Administration System,Asia,Phone,78,57.29,Alta,Automatización parcial con alertas SLA,610.97
165,HR Platform Bug Report,HRIS Integration API,South America,HR Chat / Virtual Assistant,78,57.28,Alta,Chatbot o asistente virtual,606.61
166,Employee Data Update,HR Document Management System,South America,Employee Self-Service Portal,77,57.27,Alta,Workflow automation,645.99
167,Benefits Reimbursement Request,Payroll Payment Gateway,Europe,Email,80,57.24,Alta,Workflow automation,636.16
168,HR System Enhancement Request,Benefits Portal,South America,HR Chat / Virtual Assistant,60,57.21,Alta,Automatización parcial con alertas SLA,498.54
169,HRIS Login Issue,HR Document Management System,Asia,Employee Self-Service Portal,85,57.19,Alta,Workflow automation,715.49
170,Benefits Cancellation Request,HR Document Management System,Asia,Phone,87,57.17,Alta,Automatización prioritaria,658.94
171,HRIS Login Issue,HRIS Integration API,Australia,Internal Collaboration Tool,78,57.15,Alta,Chatbot o asistente virtual,653.29
172,HR System Enhancement Request,HR Case Management Platform,Australia,Phone,74,57.15,Alta,Automatización parcial con alertas SLA,558.92
173,HR Platform Bug Report,Payroll System,Australia,Phone,70,57.15,Alta,Automatización parcial con alertas SLA,529.44
174,Employee Data Update,Employee Self-Service Portal,Europe,Email,85,57.14,Alta,Workflow automation,633.38
175,Benefits Cancellation Request,Payroll Payment Gateway,Asia,Employee Self-Service Portal,77,57.14,Alta,Workflow automation,615.27
176,Payroll Support Request,HRIS Integration API,Asia,Employee Self-Service Portal,82,57.14,Alta,Automatización parcial con alertas SLA,596.1
177,Employee Data Update,People Analytics Dashboard,Australia,HR Chat / Virtual Assistant,72,57.14,Alta,Chatbot o asistente virtual,528.19
178,HR Platform Bug Report,People Analytics Dashboard,North America,Internal Collaboration Tool,85,57.09,Alta,Chatbot o asistente virtual,683.95
179,Compliance & Access Security Review,HR Document Management System,South America,Email,78,57.08,Alta,Automatización parcial con alertas SLA,601.96
180,Compliance & Access Security Review,People Analytics Dashboard,Europe,HR Chat / Virtual Assistant,78,57.07,Alta,Chatbot o asistente virtual,547.91
181,Benefits Reimbursement Request,Payroll System,Australia,Phone,83,57.06,Alta,Automatización parcial con alertas SLA,626.9
182,Payroll Support Request,Benefits Portal,North America,HR Chat / Virtual Assistant,81,57.02,Alta,Chatbot o asistente virtual,617.75
183,Benefits Cancellation Request,HR Document Management System,Australia,Employee Self-Service Portal,80,57.0,Alta,Workflow automation,629.44
184,Payroll Support Request,HRIS Integration API,Asia,HR Chat / Virtual Assistant,72,56.98,Alta,Chatbot o asistente virtual,627.23
185,Compliance & Access Security Review,Payroll Payment Gateway,South America,Internal Collaboration Tool,91,56.96,Alta,Chatbot o asistente virtual,694.97
186,Benefits Cancellation Request,People Analytics Dashboard,Africa,Employee Self-Service Portal,79,56.96,Alta,Workflow automation,629.87
187,Payroll Support Request,HR Case Management Platform,Africa,Email,68,56.95,Alta,Workflow automation,527.17
188,Employee Data Update,People Analytics Dashboard,South America,HR Chat / Virtual Assistant,71,56.95,Alta,Automatización parcial con alertas SLA,503.21
189,HR System Enhancement Request,Payroll System,Asia,HR Chat / Virtual Assistant,64,56.94,Alta,Automatización parcial con alertas SLA,481.6
190,Benefits Cancellation Request,HRIS Integration API,Europe,Email,75,56.93,Alta,Workflow automation,631.31
191,Compliance & Access Security Review,HR Document Management System,Asia,Employee Self-Service Portal,67,56.92,Alta,Workflow automation,557.64
192,Benefits Cancellation Request,Payroll System,Australia,Phone,66,56.92,Alta,Automatización prioritaria,525.99
193,Benefits Cancellation Request,HRIS Integration API,Asia,Phone,80,56.89,Alta,Automatización prioritaria,625.8
194,HRIS Access Suspension,Payroll Payment Gateway,Africa,Email,89,56.86,Alta,Workflow automation,640.44
195,Benefits Reimbursement Request,HR Document Management System,Africa,Internal Collaboration Tool,73,56.86,Alta,Chatbot o asistente virtual,531.95
196,Benefits Cancellation Request,HR Document Management System,Africa,Phone,63,56.84,Alta,Automatización parcial con alertas SLA,506.49
197,HR System Performance Issue,People Analytics Dashboard,Australia,Employee Self-Service Portal,83,56.83,Alta,Workflow automation,637.94
198,HRIS Access Suspension,Benefits Portal,North America,Email,82,56.82,Alta,Workflow automation,645.75
199,Benefits Cancellation Request,Employee Mobile App,Europe,HR Chat / Virtual Assistant,75,56.8,Alta,Chatbot o asistente virtual,634.72
200,Benefits Cancellation Request,Benefits Administration System,Europe,Phone,69,56.8,Alta,Automatización parcial con alertas SLA,529.85
201,HR System Performance Issue,HR Document Management System,Australia,HR Chat / Virtual Assistant,62,56.79,Alta,Chatbot o asistente virtual,537.07
202,HRIS Login Issue,HR Document Management System,Europe,Phone,71,56.75,Alta,Automatización parcial con alertas SLA,573.29
203,Benefits Cancellation Request,Benefits Administration System,Africa,Email,80,56.67,Alta,Workflow automation,666.68
204,Payroll Support Request,Employee Self-Service Portal,South America,Employee Self-Service Portal,83,56.64,Alta,Workflow automation,595.82
205,HRIS Access Suspension,Payroll Payment Gateway,North America,HR Chat / Virtual Assistant,83,56.64,Alta,Chatbot o asistente virtual,578.09
206,HR Platform Bug Report,Payroll Payment Gateway,North America,Email,67,56.63,Alta,Workflow automation,561.16
207,Compliance & Access Security Review,Employee Self-Service Portal,Australia,Internal Collaboration Tool,59,56.63,Alta,Automatización parcial con alertas SLA,494.77
208,HRIS Access Suspension,Employee Self-Service Portal,Australia,Email,76,56.62,Alta,Workflow automation,566.58
209,HR System Performance Issue,HR Document Management System,Africa,Phone,77,56.61,Alta,Automatización parcial con alertas SLA,621.2
210,HRIS Login Issue,Employee Mobile App,North America,Email,72,56.58,Alta,Workflow automation,643.36
211,Employee Data Update,Employee Self-Service Portal,North America,Employee Self-Service Portal,76,56.58,Alta,Workflow automation,554.61
212,HRIS Access Suspension,HR Case Management Platform,Europe,Phone,83,56.57,Alta,Automatización prioritaria,663.5
213,Benefits Reimbursement Request,Employee Self-Service Portal,Europe,Email,67,56.57,Alta,Automatización parcial con alertas SLA,574.76
214,HR System Enhancement Request,HR Document Management System,South America,Internal Collaboration Tool,63,56.57,Alta,Chatbot o asistente virtual,553.01
215,HRIS Login Issue,People Analytics Dashboard,North America,Email,82,56.55,Alta,Workflow automation,622.79
216,HRIS Access Suspension,Benefits Administration System,Australia,Phone,79,56.53,Alta,Automatización parcial con alertas SLA,593.65
217,Benefits Reimbursement Request,Employee Mobile App,Africa,Internal Collaboration Tool,85,56.52,Alta,Chatbot o asistente virtual,638.14
218,Benefits Cancellation Request,Payroll Payment Gateway,South America,HR Chat / Virtual Assistant,70,56.52,Alta,Automatización prioritaria,541.45
219,Payroll Support Request,HRIS Integration API,South America,Employee Self-Service Portal,80,56.5,Alta,Workflow automation,634.48
220,Benefits Reimbursement Request,Benefits Portal,North America,Internal Collaboration Tool,80,56.5,Alta,Chatbot o asistente virtual,603.4
221,Benefits Reimbursement Request,HR Document Management System,Australia,Employee Self-Service Portal,63,56.5,Alta,Automatización parcial con alertas SLA,473.41
222,HRIS Login Issue,Benefits Portal,Africa,Email,83,56.47,Alta,Workflow automation,657.11
223,HRIS Access Suspension,Employee Self-Service Portal,Africa,HR Chat / Virtual Assistant,70,56.46,Alta,Chatbot o asistente virtual,572.56
224,HR Platform Bug Report,Payroll System,South America,HR Chat / Virtual Assistant,75,56.46,Alta,Chatbot o asistente virtual,567.79
225,Benefits Cancellation Request,Employee Self-Service Portal,Europe,HR Chat / Virtual Assistant,63,56.46,Alta,Chatbot o asistente virtual,519.72
226,Payroll Support Request,Payroll System,Asia,Employee Self-Service Portal,73,56.45,Alta,Workflow automation,641.82
227,HR System Enhancement Request,HR Document Management System,North America,Phone,82,56.45,Alta,Automatización parcial con alertas SLA,617.05
228,HR Platform Bug Report,Employee Mobile App,Africa,HR Chat / Virtual Assistant,72,56.43,Alta,Chatbot o asistente virtual,600.01
229,HRIS Login Issue,HRIS Integration API,Asia,Phone,77,56.43,Alta,Automatización parcial con alertas SLA,595.6
